algo_id,algo_name,seed,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,test_set_size,trainable_percent,backbone_drift,error_Lilly,error_Lotus,error_Orchid,error_Sunflower,error_Tulip
1,CNN from scratch (baseline),42,80.96192384769539,80.34903884049997,80.30625966208984,80.28341622942335,80.88585679967045,80.96192384769539,80.88073304064055,499,100.0,,27.835051546391753,30.434782608695652,22.448979591836736,4.3478260869565215,13.402061855670103
1,CNN from scratch (baseline),123,78.95791583166333,78.79437018574811,78.24650792634401,78.37057473801266,79.20742899712592,78.95791583166333,78.93653175185648,499,100.0,,26.804123711340207,30.434782608695652,23.46938775510204,4.3478260869565215,23.711340206185568
1,CNN from scratch (baseline),999,83.96793587174348,83.72757384459513,83.41572828145154,83.49334367626882,83.90021372337067,83.96793587174348,83.84849854398672,499,100.0,,25.77319587628866,21.73913043478261,18.367346938775512,2.608695652173913,14.43298969072165
2,CNN improved + augmentation (Group A),42,64.12825651302605,62.69864054774541,62.8009861048857,62.34276543054903,63.26726269235326,64.12825651302605,63.27832742118057,499,100.0,,52.577319587628864,44.56521739130435,50.0,1.7391304347826086,37.11340206185567
2,CNN improved + augmentation (Group A),123,64.12825651302605,63.809402773330845,62.80167217043697,62.478356141234734,64.018786617695,64.12825651302605,63.19620132768925,499,100.0,,48.45360824742268,43.47826086956522,44.89795918367347,1.7391304347826086,47.422680412371136
2,CNN improved + augmentation (Group A),999,61.523046092184366,59.51182389462393,60.1577401915495,59.31591308288443,60.04483440917758,61.523046092184366,60.228918866257445,499,100.0,,62.88659793814433,43.47826086956522,46.93877551020408,2.608695652173913,43.29896907216495
3,"Transfer learning, frozen + aug (Group B)",42,89.57915831663327,89.51650127572321,89.31708120271867,89.30678203595279,89.9317726518031,89.57915831663327,89.64984980318106,499,2.1878673593061055,0.0,13.402061855670103,8.695652173913043,15.306122448979592,2.608695652173913,13.402061855670103
3,"Transfer learning, frozen + aug (Group B)",123,89.57915831663327,89.39270762500847,89.2988775967581,89.30110935718314,89.7021608787016,89.57915831663327,89.59701894667515,499,2.1878673593061055,0.0,11.34020618556701,10.869565217391305,17.346938775510203,2.608695652173913,11.34020618556701
3,"Transfer learning, frozen + aug (Group B)",999,89.17835671342685,89.17958237943292,88.84513213622519,88.86846271168129,89.52574666828092,89.17835671342685,89.21146290577065,499,2.1878673593061055,0.0,11.34020618556701,11.956521739130435,18.367346938775512,1.7391304347826086,12.371134020618557
4,"Transfer learning, frozen, no aug (Group B')",42,92.58517034068137,92.42177606511076,92.40289428187232,92.40137210850283,92.68696924912823,92.58517034068137,92.62482486311526,499,2.1878673593061055,0.0,12.371134020618557,10.869565217391305,7.142857142857143,3.4782608695652173,4.123711340206185
4,"Transfer learning, frozen, no aug (Group B')",123,92.58517034068137,92.40076541815671,92.41620395356709,92.39708979552795,92.66726020583737,92.58517034068137,92.61450405284859,499,2.1878673593061055,0.0,11.34020618556701,9.782608695652174,8.16326530612245,3.4782608695652173,5.154639175257732
4,"Transfer learning, frozen, no aug (Group B')",999,91.58316633266533,91.36529304029304,91.36496857819776,91.35094547148024,91.67083984819455,91.58316633266533,91.61260641898862,499,2.1878673593061055,0.0,13.402061855670103,11.956521739130435,9.183673469387756,3.4782608695652173,5.154639175257732
5,"Fine-tuning, backbone unfrozen (Group C)",42,93.78757515030061,93.91590714477955,93.58522306277956,93.64262892348873,94.09837193804402,93.78757515030061,93.83745545064741,499,100.0,0.42895410768687725,6.185567010309279,7.608695652173913,11.224489795918368,0.8695652173913043,6.185567010309279
5,"Fine-tuning, backbone unfrozen (Group C)",123,92.78557114228457,92.57106681991048,92.5430894903905,92.53292317148309,92.84383154408125,92.78557114228457,92.79114550781338,499,100.0,0.3448871336877346,10.309278350515465,8.695652173913043,11.224489795918368,0.8695652173913043,6.185567010309279
5,"Fine-tuning, backbone unfrozen (Group C)",999,93.18637274549098,93.12475530479149,92.99118177078093,92.97634181083701,93.39199561397507,93.18637274549098,93.21033562550396,499,100.0,0.4586581401526928,8.24742268041237,5.434782608695652,12.244897959183673,0.8695652173913043,8.24742268041237
